Timestamp,What is your age?,Gender,Class,City/ Residencial status,Type of Family,What type of video games do you typically play?,Name the video game you usually play ,NAME THE VIDEO GAME YOU USUALLY PLAY ,How many hours do you play Video Games in  a day?,"How much time do you play ""violent"" video games specifically?",What changes on behaviour have you experienced in yourself after playing violent video games?,Some of my Friends think I am hothead,"If I have to resort to violence to protect my rights, I will","When people are especially nice to me, I wonder what they want",I tell my friends openly when I disagree with them,"Once I became so mad, I broke things",When people disagree with me I get into arguments,When I argue I use abusive language,I am a hot-tempered person,I am suspicious of strangers who are too friendly,I have threatened some people whom I know,I can get angry suddenly but get over it quickly,"If I am provoked enough, I will hit another person","When people annoy me, I openly tell them what I think of them",I may hit a person for no good reason,Sometimes I feel I am being treated unfairly,I have trouble controlling my temper,"When frustrated, I show my irritation",Sometimes I feel people are laughing behind my back,I often disagree with people,"If somebody hits me, I hit back",I sometimes feel like exploding for no good reason,I feel other people always take over the oppurtunity and I miss it,there are people who pushed me so far that we begin fighting,"I know that some so called ""friends"" talk about me behind my back",My friends say that I am a bit argumentative,Sometimes I lose temper for no good reason,I get into fights a little more than a normal person,sometimes I can not control the feeling to hit another person ,I sometimes get too much jealous from people,I dont know why sometimes I feel bitter about things,"Have you ever been involved in delinquent behaviour? like stealing, breaking things of others",Do you believe that playing violent video games can lead to aggressive behavior in real life?
7/14/2023 12:09,23,female,BS 4th year ,Lahore ,joint,roleplay,Pubg,PUBG,less than 1 hour,more than 1 hour,Increased aggression,agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,yes,no
7/14/2023 12:25,18,male,Bachelors,Lahore,nuclear,fighting,Pubg,PUBG,more than 5 hour,more than 5 hour,I feel like playing out the same violent stunts as the actors in the videogame act out.,strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,yes,yes
7/14/2023 12:41,19,male,9th,Lahore,extended,action,Mortal kombat,MORTAL KOMBAT,more than 1 hour,more than 1 hour,Relaxed,disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,no,no
7/14/2023 12:43,16,male,9th,Lahore,nuclear,first person shooter,Shadow fight,SHADOW FIGHT,less than 1 hour,less than 1 hour,Fun,niether disagree nor agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,no,yes
7/14/2023 12:58,20,female,12th,Lahore,joint,action,Pubg,PUBG,more than 2 hour,more than 2 hour,Motivated,agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly disagree,Agree,Disagree,Agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Agree,Strongly disagree,Neither agree nor disagree,Agree,Disagree,Agree,yes,no
7/14/2023 13:04,19,male,bs,lahore,joint,sports,cricket ,CRICKET ,more than 2 hour,more than 2 hour,i feel relaxed ,strongly disagree,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,no,no
7/14/2023 13:14,17,male,11th,Lahore,joint,action,PUBG,PUBG,more than 2 hour,more than 3 hour,Agrresive,agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes,yes
7/14/2023 13:17,18,male,11th,Lahore,joint,sports,Cricket,CRICKET,more than 3 hour,more than 2 hour,Irritation,strongly disagree,Strongly disagree,Disagree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Agree,Disagree,Agree,Disagree,Strongly disagree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,yes,yes
7/14/2023 13:31,25,male,16,Lahore ,joint,No,8poll,8POLL,less than 1 hour,less than 1 hour,No,strongly disagree,Disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,yes,no
7/14/2023 13:44,25,male,M.A special Education ,Rajanpur ,joint,fighting,PUBG,PUBG,more than 1 hour,less than 1 hour,No changes,agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,no,yes
